array_test1,array_test2,array_test3,array_test4,array_test5
that,but,it,starts,about
can,get,Dana,Chivvis,explains
Chivvis,explains,Our,story,begins
explains,Our,story,begins,deep
of,art,There,was,one
perfectly,coiffed,Eyes,friendly,big
grin,teeth,that,are,too
National,Geographic,but,the,British
selfies,This,was,in,two
hour,it,was,all,over
crazy,Uh,people,wanting,to
with,calls,Over,the,next
image,And,I,and,I
for,it,They,had,not
just,stealing,He,makes,a
Uhuh,Here,we,go,Oh
was,online,There,it,was
online,There,it,was,Um
Wikimedia,and,Wikimedia,is,claiming
public,domain,But,who's,standing
domain,But,who's,standing,up
the,monkey,That's,what,the
and,monkeys,Even,Schwarz,seems
monkeys,Even,Schwarz,seems,uncomfortable
with,it,He's,saying,that
quite,a,stretch,Mr,Schwarz
picture,and,this,is,the
on,earth,And,if,we're
And,if,we're,gonna,give
seeing,that,This,is,Jeff
This,is,Jeff,Kerr,again
go,anywhere,And,then,the
anywhere,And,then,the,monkey
uh,Naruto,What,financial,benefits
watched,it,and,you,see
a,sudden,That,yes,he
